Name,Rooms,Rate,EF Score
Hyatt Regency Phoenix,693,,
Royal Palms Resort and Spa,119,201.0,23919.0
Arizona Grand Resort & Spa,744,324.0,241056.0
Hilton Phoenix Resort at the Peak,432,251.0,108432.0
"Arizona Biltmore, A Waldorf Astoria Resort",703,,
Hilton Phoenix Tapatio Cliffs Resort,584,205.0,119720.0
Kimpton Hotel Palomar Phoenix,242,308.5,74657.0
DoubleTree Resort by Hilton Hotel Paradise Valley - Scottsdale,,,
Marriott Phoenix Resort Tempe at The Buttes,353,,
Fairmont Scottsdale Princess,750,511.0,383250.0
Hilton Scottsdale Resort & Villas,235,,
JW Marriott Tucson Starr Pass Resort & Spa,,,
Sheraton Grand at Wild Horse Pass,500,245.0,122500.0
W Scottsdale,241,392.5,94592.5
The Westin La Paloma Resort & Spa,487,216.5,105435.5
"Hotel Adeline, Scottsdale, a Tribute Portfolio Hotel",,,
The Wigwam,331,201.5,66696.5
Gila River Resorts & Casinos - Wild Horse Pass,,,
DoubleTree by Hilton Tucson Downtown Convention Center,,,
Casino Del Sol,215,,
"Crowne Plaza Resort Phoenix - Chandler Golf Resort, an IHG Hotel",,,
Andaz Scottsdale Resort & Bungalows - a Concept by Hyatt,,,
Ventana Canyon Club and Lodge,,,
Kimpton Hotel Palomar Phoenix,242,308.5,74657.0
Scottsdale Marriott at McDowell Mountains,266,,
Four Seasons Resort Scottsdale,,,
Hilton Sedona Resort at Bell Rock,,,
AC Hotel by Marriott Phoenix Tempe/Downtown,159,,
Canopy by Hilton Tempe Downtown,198,,
The Scottsdale Plaza Resort & Villas,,,
Hyatt Regency Phoenix,693,,
Mountain Shadows Resort Scottsdale,217,1076.0,233492.0
The Westin Kierland Resort & Spa,735,366.0,269010.0
The Scottsdale Resort at McCormick Ranch,278,213.0,59214.0
JW Marriott Phoenix Desert Ridge Resort & Spa,950,414.0,393300.0
Hotel Valley Ho,194,319.5,61983.0
"Boulders Resort & Spa Scottsdale, Curio Collection by Hilton",,,
"ADERO Scottsdale Resort, Autograph Collection",177,,
The Westin Tempe,290,,
"El Conquistador Tucson, A Hilton Resort",,,
"The Phoenician, a Luxury Collection Resort, Scottsdale",585,557.5,326137.5
Andaz Scottsdale Resort & Bungalows - a Concept by Hyatt,,,
"Squire Resort At The Grand Canyon, BW Signature Collection",,,
The Westin Phoenix Downtown,242,,
Royal Palms Resort and Spa,119,201.0,23919.0
Tempe Mission Palms - Destination by Hyatt,303,,
"The Clarendon Hotel & Spa (Cannabis-Friendly, 21+ only)",,,
Loews Ventana Canyon Resort,398,201.0,79998.0
"Crowne Plaza Resort Phoenix - Chandler Golf Resort, an IHG Hotel",,,
"The Ritz-Carlton, Dove Mountain",253,291.0,73623.0
Omni Tempe Hotel at ASU,330,,
The Westin Phoenix Downtown,242,,
Omni Tucson National Resort,130,161.0,20930.0
Hyatt Regency Scottsdale Resort & Spa At Gainey Ranch,,,
Miraval Arizona Resort & Spa,117,1158.0,135486.0
CIVANA Wellness Resort and Spa,,,
The Scott Resort & Spa (formerly FireSky Resort),,,
JW Marriott Scottsdale Camelback Inn Resort & Spa,453,515.0,233295.0
Talking Stick Resort,496,221.5,109864.0
Omni Scottsdale Resort & Spa at Montelucia,293,,
Enchantment Resort,218,556.0,121208.0
"Senna House Hotel Scottsdale, Curio Collection by Hilton",,,
The Westin Phoenix Downtown,242,,
Loews Ventana Canyon Resort,398,201.0,79998.0
Westward Look Wyndham Grand Resort and Spa,241,123.0,29643.0
Sheraton Mesa Hotel at Wrigleyville West,180,149.0,26820.0
Graduate Tucson,165,,
Renaissance Phoenix Downtown Hotel,517,,
Amangiri,35,6304.0,220640.0
Twin Arrows Navajo Casino Resort,,,
We-Ko-Pa Casino Resort,,,
"Sheraton Desert Oasis Villas, Scottsdale",300,212.0,63600.0
Bespoke Inn Scottsdale,,,
The Wilde Resort and Spa,105,346.5,36382.5
Amara Resort and Spa,,,
"Squire Resort At The Grand Canyon, BW Signature Collection",,,
Sand Hollow Resort,100,,
The Penrose Bed & Breakfast,5,73.5,367.5
"Sanctuary Camelback Mountain, A Gurney's Resort & Spa",,,
Ventana Canyon Club and Lodge,,,
"The Canyon Suites at The Phoenician, a Luxury Collection Resort, Scottsdale",,,
A Sunset Chateau,25,374.0,9350.0
DoubleTree by Hilton Tucson Downtown Convention Center,,,
Omni Scottsdale Resort & Spa at Montelucia,293,,
The Hermosa Inn,43,414.0,17802.0
Marriott's Canyon Villas,252,,
"The Westin Kierland Villas, Scottsdale",298,312.0,92976.0
L'Auberge de Sedona,88,887.5,78100.0
Mii amo,16,529.0,8464.0
Sheraton Phoenix Downtown,"1,003",,
Hacienda Del Sol Guest Ranch Resort,59,376.0,22184.0
High Country Motor Lodge - Flagstaff Hotel,120,209.0,25080.0
"The Advenire, Autograph Collection",60,,
The Armory Park Inn,7,,
The Inn at Entrada,57,179.0,10203.0
Graduate Tempe,140,,
Entrada At Snow Canyon Country Club,,,
Red Mountain Resort,106,207.5,21995.0
Tanque Verde Ranch,74,172.0,12728.0
Canyon Ranch Tucson,,,
"The Camby, Autograph Collection",277,237.0,65649.0
Gold Canyon Golf Resort & Spa,,,
Omni Scottsdale Resort & Spa at Montelucia,293,,
"Arizona Biltmore, A Waldorf Astoria Resort",703,,
Desert Diamond Casino & Entertainment - Tucson,,,
Mojave Edge Hotel,,,
Sagebrush Inn,160,,
Amira Resort,,,
Arizona Inn,36,,
Renaissance Phoenix Glendale Hotel & Spa,320,272.5,87200.0
Adobe Grand Villas,16,391.0,6256.0
Element Sedona,117,,
Prescott Pines Inn,12,176.5,2118.0
Majestic View Lodge,69,242.0,16698.0
Scottsdale Camelback Resort,111,247.0,27417.0
Coral Springs Resort,-,,
Orchard Canyon on Oak Creek,17,375.0,6375.0
