Name,Rooms,Rate,EF Score
The Pinch Charleston,,,
"Mills House Charleston, Curio Collection by Hilton",218,,
"Mills House Charleston, Curio Collection by Hilton",218,,
Charleston Harbor Resort and Marina,217,151.5,32875.5
The Dewberry Charleston,155,460.0,71300.0
The Charleston Place,434,543.5,235879.0
The Lindy Renaissance Charleston Hotel,,,
Emeline,212,474.0,100488.0
The Restoration Charleston,54,584.0,31536.0
"The Palmetto Hotel, Charleston",45,550.0,24750.0
"Grand Bohemian Hotel Charleston, Autograph Collection",50,564.0,28200.0
The Spectator Hotel,41,486.0,19926.0
Hotel Bella Grace,50,,
French Quarter Inn,50,418.5,20925.0
HarbourView Inn,52,470.5,24466.0
Hotel Bennett,179,508.0,90932.0
Market Pavilion Hotel,70,326.0,22820.0
Zero George,16,456.5,7304.0
The Pinch Charleston,,,
Planters Inn,64,428.5,27424.0
Charleston Harbor Resort and Marina,217,151.5,32875.5
"The Palmetto Hotel, Charleston",45,550.0,24750.0
"Grand Bohemian Hotel Charleston, Autograph Collection",50,564.0,28200.0
The Restoration Charleston,54,584.0,31536.0
Wentworth Mansion,21,410.0,8610.0
